"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",4.2,4,1.06350104972145,1.66348015941553e-06,"Not Normal",0.189347477549562
"s1",4.17857142857143,4,0.983326607456148,1.81002535392872e-05,"Not Normal",0.356970363388847
"s2",4.36666666666667,5,0.927857499958849,3.23099675008178e-07,"Not Normal",0.356970363388847
"s1",4.28571428571429,4.5,0.975900072948533,3.21058192926243e-06,"Not Normal",0.843035372934057
"s2",4.23333333333333,4,1.00630198159445,1.52897693800617e-06,"Not Normal",0.843035372934057
"s1",3.89285714285714,4,1.13330999042254,0.000867025432441754,"Not Normal",0.947876343110508
"s2",3.83333333333333,4,1.3412123525798,6.64092276624918e-05,"Not Normal",0.947876343110508
"s1",4.07142857142857,4,0.857583660904133,0.000175494561518478,"Not Normal",0.946211071057042
"s2",4,4,1.01709525543122,8.24829699998715e-05,"Not Normal",0.946211071057042
"s1",4.14285714285714,4,1.00790526135794,4.6800729742789e-05,"Not Normal",0.781185892631641
"s2",4.23333333333333,4,0.897634182970313,2.9178787879625e-05,"Not Normal",0.781185892631641
"s1",3.78571428571429,4,1.10074529825942,0.000797182560932173,"Not Normal",0.409104277231023
"s2",3.6,4,0.932183199398798,0.000549482599943453,"Not Normal",0.409104277231023
"s1",3.67857142857143,4,1.15641756615056,0.000773063982948051,"Not Normal",0.651064155853515
"s2",3.8,4,1.18612670137896,0.000943565104432727,"Not Normal",0.651064155853515
"s1",3.89285714285714,4,0.994029797388005,0.00128916125500107,"Not Normal",0.762651521300884
"s2",3.8,4,1.03056730275962,0.0018231533751596,"Not Normal",0.762651521300884
"s1",3.96428571428571,4,1.03573709152049,0.000207697030345231,"Not Normal",0.743552568129761
"s2",3.9,4,0.994814139633024,0.000826557975038358,"Not Normal",0.743552568129761
